"","Dividend Per Share","Total Dividends","Share Buyback"
"Q2-05","0.080","0.868","0.655"
"Q3-05","0.08","0.86","2.42"
"Q4-05","0.080","0.857","4.302"
"Q1-06","0.080","0.846","3.029"
"Q2-06","0.090","0.926","7.666"
"Q3-06","0.090","0.916","4.879"
"Q4-06","0.090","0.897","4.175"
"Q1-07","0.100","0.980","6.965"
"Q2-07","0.100","0.978","6.037"
"Q3-07","0.100","0.952","6.744"
"Q4-07","0.100","0.938","7.367"
"Q1-08","0.110","1.034","2.348"
"Q2-08","0.110","1.023","4.081"
"Q3-08","0.11","1.02","1.02"
"Q4-08","0.110","0.998","4.975"
"Q1-09","0.130","1.157","5.966"
"Q2-09","0.130","1.155","2.234"
"Q3-09","0.130","1.158","0.000"
"Q4-09","0.130","1.157","0.000"
"Q1-10","0.130","1.152","1.445"
"Q2-10","0.130","1.139","3.583"
"Q3-10","0.13","1.13","2.00"
"Q4-10","0.130","1.118","3.808"
"Q1-11","0.160","1.363","4.000"
"Q2-11","0.160","1.349","5.000"
"Q3-11","0.160","1.350","0.827"
"Q4-11","0.160","1.341","1.631"
"Q1-12","0.200","1.683","1.000"
"Q2-12","0.200","1.683","1.000"
"Q3-12","0.200","1.678","1.000"
"Q4-12","0.200","1.676","1.000"
"Q1-13","0.230","1.933","1.000"
"Q2-13","0.230","1.925","1.607"
"Q3-13","0.230","1.921","1.000"
"Q4-13","0.230","1.916","1.000"
"Q1-14","0.280","2.332","1.500"
"Q2-14","0.280","2.322","2.000"
"Q3-14","0.280","2.309","1.791"
"Q4-14","0.280","2.307","1.118"
"Q1-15","0.310","2.547","2.000"
"Q2-15","0.310","2.532","2.000"
"Q3-15","0.310","2.496","5.000"
"Q4-15","0.310","2.475","4.209"
"Q1-16","0.360","2.868","4.000"
"Q2-16","0.360","2.842","3.600"
"Q3-16","0.360","2.821","3.600"
"Q4-16","0.36","2.80","3.60"
"Q1-17","0.390","3.024","3.550"
"Q2-17","0.390","3.012","3.533"
"Q3-17","0.390","3.009","1.600"
"Q4-17","0.390","3.003","1.600"
"Q1-18","0.420","3.238","1.600"
"Q2-18","0.420","3.232","1.800"
"Q3-18","0.420","3.226","3.100"
"Q4-18","0.42","3.22","2.10"
"Q1-19","0.460","3.544","2.600"
"Q2-19","0.460","3.526","6.100"
"Q3-19","0.460","3.521","3.899"
"Q4-19","0.46","3.51","4.20"
"Q1-20","0.510","3.886","4.000"
"Q2-20","0.510","3.876","4.600"
"Q3-20","0.510","3.865","6.000"
"Q4-20","0.510","3.856","5.088"
"Q1-21","0.56","4.23","5.27"
"Q2-21","0.560","4.221","5.750"
"Q3-21","0.560","4.214","5.750"
"Q4-21","0.560","4.206","6.200"
"Q1-22","0.620","4.652","6.200"
"Q2-22","0.620","4.645","6.233"
"Q3-22","0.620","4.632","7.800"
"Q4-22","0.620","4.621","7.800"
"Q1-23","0.680","5.066","4.600"
"Q2-23","0.680","5.064","4.600"
